-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,-0.04,-0.04,-10.0,-10.0,-10.0,-10.0
-10.0,-10.0,-10.0,-10.0,1.000,1.000,-10.0,-10.0,-10.0,-10.0
