-10,-10,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,1
-10,-0.04,-0.04,-0.04,-0.04,-0.04,-10,-10,-0.04,-0.04
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-10,-0.04,-0.04
-0.04,-0.04,-0.04,-0.04,-0.04,-10,-0.04,-0.04,-0.04,-10
-10,-0.04,-0.04,-0.04,-10,-10,-10,-0.04,-10,-10
-10,-10,-0.04,-0.04,-0.04,-0.04,-10,-10,-10,-10
-0.04,-0.04,-0.04,-0.04,-0.04,-10,-10,-10,-0.04,-10
-0.04,-0.04,-10,-10,-0.04,-10,-0.04,-0.04,-0.04,-0.04
-0.04,-0.04,-10,-0.04,-0.04,-0.04,-0.04,-10,-0.04,-0.04
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-10,-0.04,2
